base_id,before_sample_id,after_sample_id,patch_row,patch_col,before_cell_count,before_soma_area_mean,before_soma_area_total,before_perimeter_mean,before_circularity_mean,before_eccentricity_mean,before_solidity_mean,before_neurite_length,before_branch_count,before_neurite_density,after_cell_count,after_soma_area_mean,after_soma_area_total,after_perimeter_mean,after_circularity_mean,after_eccentricity_mean,after_solidity_mean,after_neurite_length,after_branch_count,after_neurite_density,delta_cell_count,delta_soma_area_mean,delta_soma_area_total,delta_perimeter_mean,delta_circularity_mean,delta_eccentricity_mean,delta_solidity_mean,delta_neurite_length,delta_branch_count,delta_neurite_density,concentration,label,is_synthetic
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d04h00m_1_pre,0,0,7,420.2857142857143,2942.0,99.35461754020118,0.5385375737076807,0.7505774646232648,0.8647611043536202,365,73,0.12406526172671652,5,666.4,3332.0,138.8195092941116,0.4532350903900337,0.7258614180956169,0.8078372998447595,380,83,0.11404561824729892,-2.0,246.1142857142857,390.0,39.464891753910436,-0.08530248331764706,-0.024716046527647917,-0.0569238045088607,15.0,10.0,-0.010019643479417598,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d08h00m_1_pre,0,0,7,420.2857142857143,2942.0,99.35461754020118,0.5385375737076807,0.7505774646232648,0.8647611043536202,365,73,0.12406526172671652,3,987.0,2961.0,287.3265991548222,0.21615123396488164,0.7573015318356267,0.674893320848922,513,124,0.17325227963525835,-4.0,566.7142857142858,19.0,187.97198161462103,-0.32238633974279907,0.0067240672123618506,-0.18986778350469824,148.0,51.0,0.04918701790854184,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d12h00m_1_pre,0,0,7,420.2857142857143,2942.0,99.35461754020118,0.5385375737076807,0.7505774646232648,0.8647611043536202,365,73,0.12406526172671652,2,522.5,1045.0,191.50661966467317,0.1705132418272166,0.8700057077359968,0.5482441020017484,255,70,0.24401913875598086,-5.0,102.21428571428572,-1897.0,92.15200212447199,-0.36802433188046413,0.11942824311273204,-0.31651700235187175,-110.0,-3.0,0.11995387702926434,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d16h00m_1_pre,0,0,7,420.2857142857143,2942.0,99.35461754020118,0.5385375737076807,0.7505774646232648,0.8647611043536202,365,73,0.12406526172671652,3,399.3333333333333,1198.0,151.06566850447328,0.20527516236505783,0.7901628557932203,0.619985478651893,290,80,0.24207011686143573,-4.0,-20.952380952380963,-1744.0,51.711050964272104,-0.3332624113426229,0.03958539116995552,-0.24477562570172717,-75.0,7.0,0.11800485513471921,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d20h00m_1_pre,0,0,7,420.2857142857143,2942.0,99.35461754020118,0.5385375737076807,0.7505774646232648,0.8647611043536202,365,73,0.12406526172671652,1,427.0,427.0,116.77564927611034,0.3934895088220508,0.654697654476902,0.8455445544554455,71,11,0.16627634660421545,-6.0,6.714285714285722,-2515.0,17.421031735909168,-0.14504806488562993,-0.09587981014636282,-0.019216549898174673,-294.0,-62.0,0.04221108487749893,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_01d00h00m_1_pre,0,0,7,420.2857142857143,2942.0,99.35461754020118,0.5385375737076807,0.7505774646232648,0.8647611043536202,365,73,0.12406526172671652,1,206.0,206.0,88.76955262170046,0.3285103236604892,0.7948760382226112,0.64375,49,12,0.23786407766990292,-6.0,-214.28571428571428,-2736.0,-10.58506491850072,-0.21002725004719153,0.044298573599346414,-0.22101110435362015,-316.0,-61.0,0.1137988159431864,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d04h00m_1_pre,0,1,3,465.3333333333333,1396.0,100.30018031904608,0.5691817828829423,0.6627001168259493,0.8560328312974552,200,51,0.14326647564469913,1,877.0,877.0,175.23149339882607,0.35890964800370934,0.6213099494092261,0.7754199823165341,172,44,0.1961231470923603,-2.0,411.6666666666667,-519.0,74.93131307978,-0.21027213487923296,-0.04139016741672319,-0.08061284898092114,-28.0,-7.0,0.05285667144766118,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d08h00m_1_pre,0,1,3,465.3333333333333,1396.0,100.30018031904608,0.5691817828829423,0.6627001168259493,0.8560328312974552,200,51,0.14326647564469913,2,643.0,1286.0,107.20458146424488,0.6215386002784541,0.75594597525304,0.8739477250185099,115,17,0.08942457231726283,-1.0,177.66666666666669,-110.0,6.904401145198804,0.05235681739551179,0.09324585842709066,0.017914893721054703,-85.0,-34.0,-0.0538419033274363,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d12h00m_1_pre,0,1,3,465.3333333333333,1396.0,100.30018031904608,0.5691817828829423,0.6627001168259493,0.8560328312974552,200,51,0.14326647564469913,2,935.0,1870.0,207.42388155425118,0.33779329948644554,0.8415160271019773,0.7851739063006669,256,52,0.13689839572192514,-1.0,469.6666666666667,474.0,107.1237012352051,-0.23138848339649676,0.17881591027602795,-0.07085892499678836,56.0,1.0,-0.006368079922773995,,,False
A172_Phase_A7_1_1_pre,A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d16h00m_1_pre,0,1,3,465.3333333333333,1396.0,100.30018031904608,0.5691817828829423,0.6627001168259493,0.8560328312974552,200,51,0.14326647564469913,2,1021.0,2042.0,228.2731239591687,0.29160834666964264,0.8115183372340737,0.7456355354313461,308,69,0.15083251714005877,-1.0,555.6666666666667,646.0,127.97294364012261,-0.27757343621329966,0.14881822040812442,-0.11039729586610914,108.0,18.0,0.007566041495359638,,,False
