before_image_id,after_image_id,pair_type,before_soma_area_mean,before_circularity_mean,before_neurite_length,before_branch_count,before_neurite_density,after_soma_area_mean,after_circularity_mean,after_neurite_length,after_branch_count,after_neurite_density,delta_soma_area_mean,delta_circularity_mean,delta_neurite_length,delta_branch_count,delta_neurite_density,dish,label,is_synthetic
d1_t00_ph001,d1_t02_ph169,real_longitudinal,457.3333333333333,0.27338908453121774,450,16,0.16399416909620992,453.1666666666667,0.2916966963161897,407,0,0.14968738506803972,-4.166666666666629,0.018307611784971978,-43.0,-16.0,-0.014306784028170205,1,2.0,False
d1_t00_ph002,d1_t02_ph185,real_longitudinal,398.3333333333333,0.2961673893814096,331,5,0.1384937238493724,1146.6666666666667,0.32273860950495464,319,10,0.09273255813953489,748.3333333333335,0.02657122012354507,-12.0,5.0,-0.0457611657098375,1,2.0,False
d1_t00_ph003,d1_t02_ph182,real_longitudinal,1938.0,0.31512917229421217,587,98,0.15144478844169246,730.25,0.28021279385532144,374,20,0.1280383430332078,-1207.75,-0.03491637843889073,-213.0,-78.0,-0.02340644540848466,1,2.0,False
d1_t00_ph004,d1_t02_ph177,real_longitudinal,3371.0,0.08856739498325586,378,24,0.11213289824977751,1381.0,0.27992630292891213,398,36,0.0960656529085204,-1990.0,0.19135890794565627,20.0,12.0,-0.016067245341257114,1,2.0,False
d1_t00_ph005,d1_t02_ph177,real_longitudinal,926.75,0.2647269407386085,412,45,0.11114108443485297,1381.0,0.27992630292891213,398,36,0.0960656529085204,454.25,0.015199362190303656,-14.0,-9.0,-0.015075431526332575,1,2.0,False
d1_t00_ph006,d1_t02_ph187,real_longitudinal,714.0,0.36884309671320625,472,36,0.13221288515406163,2622.0,0.16770861971214088,202,5,0.07704042715484363,1908.0,-0.20113447700106538,-270.0,-31.0,-0.055172457999217994,1,2.0,False
d1_t00_ph007,d1_t02_ph169,real_longitudinal,1297.6666666666667,0.2258740277063149,395,36,0.10146416645260724,453.1666666666667,0.2916966963161897,407,0,0.14968738506803972,-844.5,0.06582266860987482,12.0,-36.0,0.04822321861543248,1,2.0,False
d1_t00_ph008,d1_t02_ph183,real_longitudinal,2934.0,0.32164298367037514,181,10,0.06169052488070893,892.0,0.24735574943103678,275,28,0.10276532137518685,-2042.0,-0.07428723423933836,94.0,18.0,0.041074796494477914,1,2.0,False
d1_t00_ph009,d1_t02_ph171,real_longitudinal,1566.0,0.185349787431275,312,26,0.09961685823754789,605.0,0.23541664478569152,413,15,0.1365289256198347,-961.0,0.050066857354416516,101.0,-11.0,0.03691206738228682,1,2.0,False
d1_t00_ph010,d1_t02_ph169,real_longitudinal,3392.0,0.06255666844838224,400,42,0.1179245283018868,453.1666666666667,0.2916966963161897,407,0,0.14968738506803972,-2938.8333333333335,0.22914002786780746,7.0,-42.0,0.031762856766152925,1,2.0,False
d1_t00_ph011,d1_t02_ph179,real_longitudinal,610.6666666666666,0.31890294093117527,381,29,0.10398471615720524,825.6666666666666,0.19414834983671359,361,8,0.14574081550262413,215.0,-0.12475459109446169,-20.0,-21.0,0.04175609934541889,1,2.0,False
d1_t00_ph012,d1_t02_ph190,real_longitudinal,1868.5,0.40780195162673194,351,36,0.09392560877709392,1347.0,0.22589683097958038,366,12,0.09057164068299926,-521.5,-0.18190512064715156,15.0,-24.0,-0.0033539680940946615,1,2.0,False
d1_t00_ph013,d1_t02_ph184,real_longitudinal,1643.5,0.39884891483960994,298,38,0.09066017645269242,1045.25,0.3644952315514801,412,27,0.09854101889500119,-598.25,-0.03435368328812982,114.0,-11.0,0.007880842442308772,1,2.0,False
