before_image_id,after_image_id,pair_type,before_soma_area_mean,before_circularity_mean,before_neurite_length,before_branch_count,before_neurite_density,after_soma_area_mean,after_circularity_mean,after_neurite_length,after_branch_count,after_neurite_density,delta_soma_area_mean,delta_circularity_mean,delta_neurite_length,delta_branch_count,delta_neurite_density,dish,label,is_synthetic
d1_t00_ph001,d1_t02_ph169,real_longitudinal,457.3333333333333,0.27338908453121774,450.0,16.0,0.16399416909620992,453.1666666666667,0.2916966963161897,407.0,0.0,0.14968738506803972,-4.166666666666629,0.018307611784971978,-43.0,-16.0,-0.014306784028170205,1,2.0,False
d1_t00_ph002,d1_t02_ph185,real_longitudinal,398.3333333333333,0.2961673893814096,331.0,5.0,0.1384937238493724,1146.6666666666667,0.32273860950495464,319.0,10.0,0.09273255813953489,748.3333333333335,0.02657122012354507,-12.0,5.0,-0.0457611657098375,1,2.0,False
d1_t00_ph003,d1_t02_ph182,real_longitudinal,1938.0,0.31512917229421217,587.0,98.0,0.15144478844169246,730.25,0.28021279385532144,374.0,20.0,0.1280383430332078,-1207.75,-0.03491637843889073,-213.0,-78.0,-0.02340644540848466,1,2.0,False
d1_t00_ph004,d1_t02_ph177,real_longitudinal,3371.0,0.08856739498325586,378.0,24.0,0.11213289824977751,1381.0,0.27992630292891213,398.0,36.0,0.0960656529085204,-1990.0,0.19135890794565627,20.0,12.0,-0.016067245341257114,1,2.0,False
d1_t00_ph005,d1_t02_ph177,real_longitudinal,926.75,0.2647269407386085,412.0,45.0,0.11114108443485297,1381.0,0.27992630292891213,398.0,36.0,0.0960656529085204,454.25,0.015199362190303656,-14.0,-9.0,-0.015075431526332575,1,2.0,False
d1_t00_ph006,d1_t02_ph187,real_longitudinal,714.0,0.36884309671320625,472.0,36.0,0.13221288515406163,2622.0,0.16770861971214088,202.0,5.0,0.07704042715484363,1908.0,-0.20113447700106538,-270.0,-31.0,-0.055172457999217994,1,2.0,False
d1_t00_ph007,d1_t02_ph169,real_longitudinal,1297.6666666666667,0.2258740277063149,395.0,36.0,0.10146416645260724,453.1666666666667,0.2916966963161897,407.0,0.0,0.14968738506803972,-844.5,0.06582266860987482,12.0,-36.0,0.04822321861543248,1,2.0,False
d1_t00_ph008,d1_t02_ph183,real_longitudinal,2934.0,0.32164298367037514,181.0,10.0,0.06169052488070893,892.0,0.24735574943103678,275.0,28.0,0.10276532137518685,-2042.0,-0.07428723423933836,94.0,18.0,0.041074796494477914,1,2.0,False
d1_t00_ph009,d1_t02_ph171,real_longitudinal,1566.0,0.185349787431275,312.0,26.0,0.09961685823754789,605.0,0.23541664478569152,413.0,15.0,0.1365289256198347,-961.0,0.050066857354416516,101.0,-11.0,0.03691206738228682,1,2.0,False
d1_t00_ph010,d1_t02_ph169,real_longitudinal,3392.0,0.06255666844838224,400.0,42.0,0.1179245283018868,453.1666666666667,0.2916966963161897,407.0,0.0,0.14968738506803972,-2938.8333333333335,0.22914002786780746,7.0,-42.0,0.031762856766152925,1,2.0,False
d1_t00_ph011,d1_t02_ph179,real_longitudinal,610.6666666666666,0.31890294093117527,381.0,29.0,0.10398471615720524,825.6666666666666,0.19414834983671359,361.0,8.0,0.14574081550262413,215.0,-0.12475459109446169,-20.0,-21.0,0.04175609934541889,1,2.0,False
d1_t00_ph012,d1_t02_ph190,real_longitudinal,1868.5,0.40780195162673194,351.0,36.0,0.09392560877709392,1347.0,0.22589683097958038,366.0,12.0,0.09057164068299926,-521.5,-0.18190512064715156,15.0,-24.0,-0.0033539680940946615,1,2.0,False
d1_t00_ph013,d1_t02_ph184,real_longitudinal,1643.5,0.39884891483960994,298.0,38.0,0.09066017645269242,1045.25,0.3644952315514801,412.0,27.0,0.09854101889500119,-598.25,-0.03435368328812982,114.0,-11.0,0.007880842442308772,1,2.0,False
d1_t00_ph014,d1_t02_ph185,real_longitudinal,3276.0,0.24801442698407702,212.0,16.0,0.06471306471306472,1146.6666666666667,0.32273860950495464,319.0,10.0,0.09273255813953489,-2129.333333333333,0.07472418252087762,107.0,-6.0,0.02801949342647017,1,2.0,False
d1_t00_ph015,d1_t02_ph184,real_longitudinal,1207.6666666666667,0.27048166171992855,340.0,46.0,0.09384487993375655,1045.25,0.3644952315514801,412.0,27.0,0.09854101889500119,-162.41666666666674,0.09401356983155157,72.0,-19.0,0.004696138961244642,1,2.0,False
d1_t00_ph016,d1_t02_ph185,real_longitudinal,1730.5,0.3214714481953389,233.0,30.0,0.06732158335741115,1146.6666666666667,0.32273860950495464,319.0,10.0,0.09273255813953489,-583.8333333333333,0.0012671613096157386,86.0,-20.0,0.025410974782123744,1,2.0,False
d1_t00_ph017,d1_t02_ph179,real_longitudinal,4506.0,0.0758909259882185,481.0,42.0,0.10674656014203285,825.6666666666666,0.19414834983671359,361.0,8.0,0.14574081550262413,-3680.3333333333335,0.11825742384849508,-120.0,-34.0,0.038994255360591284,1,2.0,False
d1_t00_ph018,d1_t02_ph170,real_longitudinal,2639.0,0.5405039676072818,119.0,20.0,0.04509283819628647,1755.5,0.41030153386218937,316.0,26.0,0.09000284819139846,-883.5,-0.13020243374509244,197.0,6.0,0.044910009995111994,1,2.0,False
d1_t00_ph019,d1_t02_ph187,real_longitudinal,1284.6666666666667,0.17801509497284726,610.0,88.0,0.15827711468604047,2622.0,0.16770861971214088,202.0,5.0,0.07704042715484363,1337.3333333333333,-0.010306475260706383,-408.0,-83.0,-0.08123668753119684,1,2.0,False
d1_t00_ph020,d1_t02_ph177,real_longitudinal,3626.0,0.23794845794317018,227.0,25.0,0.0626034197462769,1381.0,0.27992630292891213,398.0,36.0,0.0960656529085204,-2245.0,0.04197784498574195,171.0,11.0,0.033462233162243504,1,2.0,False
d1_t00_ph021,d1_t02_ph179,real_longitudinal,3578.0,0.17006304241999037,291.0,38.0,0.08133035215204025,825.6666666666666,0.19414834983671359,361.0,8.0,0.14574081550262413,-2752.3333333333335,0.024085307416723212,70.0,-30.0,0.06441046335058388,1,2.0,False
d1_t00_ph022,d1_t02_ph175,real_longitudinal,2612.0,0.1704793550509249,265.0,28.0,0.10145482388973966,347.85714285714283,0.3408470481131164,355.0,14.0,0.1457905544147844,-2264.1428571428573,0.1703676930621915,90.0,-14.0,0.044335730525044734,1,2.0,False
d1_t00_ph023,d1_t02_ph171,real_longitudinal,2267.0,0.1562344616009433,482.0,75.0,0.10630789589766211,605.0,0.23541664478569152,413.0,15.0,0.1365289256198347,-1662.0,0.07918218318474823,-69.0,-60.0,0.030221029722172596,1,2.0,False
d1_t00_ph024,d1_t02_ph189,real_longitudinal,1219.5,0.2549820647831111,288.0,39.0,0.11808118081180811,371.125,0.3051930719789743,425.0,16.0,0.1431458403502863,-848.375,0.05021100719586319,137.0,-23.0,0.02506465953847818,1,2.0,False
d1_t00_ph025,d1_t02_ph185,real_longitudinal,1990.5,0.24177887726852149,335.0,33.0,0.08414971112785732,1146.6666666666667,0.32273860950495464,319.0,10.0,0.09273255813953489,-843.8333333333333,0.08095973223643316,-16.0,-23.0,0.008582847011677566,1,2.0,False
d1_t00_ph026,d1_t02_ph182,real_longitudinal,1463.3333333333333,0.38425648258071826,328.0,56.0,0.07471526195899772,730.25,0.28021279385532144,374.0,20.0,0.1280383430332078,-733.0833333333333,-0.10404368872539682,46.0,-36.0,0.05332308107421008,1,2.0,False
d1_t00_ph027,d1_t02_ph176,real_longitudinal,3965.0,0.05637828798165072,507.0,67.0,0.12786885245901639,952.6666666666666,0.25189778856206474,362.0,15.0,0.12666200139958012,-3012.3333333333335,0.195519500580414,-145.0,-52.0,-0.0012068510594362702,1,2.0,False
d1_t00_ph028,d1_t02_ph186,real_longitudinal,1422.0,0.47535051157147473,372.0,54.0,0.08720112517580872,587.6666666666666,0.24186016595938717,477.0,29.0,0.13528077141236527,-834.3333333333334,-0.23349034561208756,105.0,-25.0,0.048079646236556556,1,2.0,False
d1_t00_ph029,d1_t02_ph180,real_longitudinal,4092.0,0.22086179218441113,285.0,30.0,0.06964809384164222,600.8,0.32290604148418556,382.0,18.0,0.12716378162450068,-3491.2,0.10204424929977443,97.0,-12.0,0.057515687782858455,1,2.0,False
d1_t00_ph030,d1_t02_ph177,real_longitudinal,5094.0,0.2080156115419328,335.0,26.0,0.06576364350215941,1381.0,0.27992630292891213,398.0,36.0,0.0960656529085204,-3713.0,0.07191069138697934,63.0,10.0,0.03030200940636099,1,2.0,False
d1_t00_ph031,d1_t02_ph177,real_longitudinal,2219.5,0.09794126245132437,504.0,56.0,0.11353908537959,1381.0,0.27992630292891213,398.0,36.0,0.0960656529085204,-838.5,0.18198504047758776,-106.0,-20.0,-0.017473432471069597,1,2.0,False
d1_t00_ph032,d1_t02_ph172,real_longitudinal,4275.0,0.039031100414918966,620.0,68.0,0.14502923976608187,416.5,0.3352162264466993,348.0,17.0,0.13925570228091236,-3858.5,0.2961851260317803,-272.0,-51.0,-0.005773537485169511,1,2.0,False
d1_t00_ph033,d1_t02_ph169,real_longitudinal,4487.0,0.06755680211580992,566.0,113.0,0.12614218854468465,453.1666666666667,0.2916966963161897,407.0,0.0,0.14968738506803972,-4033.8333333333335,0.2241398942003798,-159.0,-113.0,0.023545196523355072,1,2.0,False
d1_t00_ph034,d1_t02_ph180,real_longitudinal,2451.5,0.18348821177026794,500.0,44.0,0.10197838058331633,600.8,0.32290604148418556,382.0,18.0,0.12716378162450068,-1850.7,0.1394178297139176,-118.0,-26.0,0.025185401041184344,1,2.0,False
d1_t00_ph035,d1_t02_ph188,real_longitudinal,1052.25,0.16885434411094202,559.0,59.0,0.13281064385839866,447.0,0.25844763725353226,427.0,36.0,0.15920954511558538,-605.25,0.08959329314259024,-132.0,-23.0,0.02639890125718672,1,2.0,False
d1_t00_ph036,d1_t02_ph168,real_longitudinal,2055.5,0.276693736932951,348.0,40.0,0.08465093651179761,829.5,0.2658785220325188,335.0,5.0,0.10096443640747438,-1226.0,-0.01081521490043219,-13.0,-35.0,0.016313499895676764,1,2.0,False
d1_t00_ph037,d1_t02_ph187,real_longitudinal,1902.0,0.22829759337291416,508.0,58.0,0.13354363827549948,2622.0,0.16770861971214088,202.0,5.0,0.07704042715484363,720.0,-0.06058897366077329,-306.0,-53.0,-0.056503211120655844,1,2.0,False
d1_t00_ph038,d1_t02_ph186,real_longitudinal,3827.0,0.3297054922693412,250.0,32.0,0.06532532009406847,587.6666666666666,0.24186016595938717,477.0,29.0,0.13528077141236527,-3239.3333333333335,-0.08784532630995404,227.0,-3.0,0.06995545131829681,1,2.0,False
d1_t00_ph039,d1_t02_ph173,real_longitudinal,1379.6666666666667,0.2848614197658163,517.0,58.0,0.12490939840541193,358.4,0.31730061615462424,258.0,12.0,0.14397321428571427,-1021.2666666666668,0.032439196388807934,-259.0,-46.0,0.019063815880302343,1,2.0,False
d1_t00_ph040,d1_t02_ph182,real_longitudinal,4230.0,0.3427968036218172,302.0,43.0,0.07139479905437353,730.25,0.28021279385532144,374.0,20.0,0.1280383430332078,-3499.75,-0.06258400976649575,72.0,-23.0,0.05664354397883427,1,2.0,False
d1_t00_ph041,d1_t02_ph170,real_longitudinal,1671.6666666666667,0.31174474001680935,446.0,46.0,0.08893320039880359,1755.5,0.41030153386218937,316.0,26.0,0.09000284819139846,83.83333333333326,0.09855679384538002,-130.0,-20.0,0.0010696477925948716,1,2.0,False
d1_t00_ph042,d1_t02_ph185,real_longitudinal,1951.5,0.10827783254080334,441.0,52.0,0.11299000768639508,1146.6666666666667,0.32273860950495464,319.0,10.0,0.09273255813953489,-804.8333333333333,0.2144607769641513,-122.0,-42.0,-0.020257449546860193,1,2.0,False
d1_t00_ph043,d1_t02_ph183,real_longitudinal,3813.0,0.18160464655545497,366.0,51.0,0.0959874114870181,892.0,0.24735574943103678,275.0,28.0,0.10276532137518685,-2921.0,0.06575110287558181,-91.0,-23.0,0.0067779098881687455,1,2.0,False
d1_t00_ph044,d1_t02_ph175,real_longitudinal,3687.0,0.18144135739649622,234.0,20.0,0.06346623270951994,347.85714285714283,0.3408470481131164,355.0,14.0,0.1457905544147844,-3339.1428571428573,0.15940569071662017,121.0,-6.0,0.08232432170526445,1,2.0,False
