image_id,dish,day,label,soma_area_mean,circularity_mean,neurite_length,branch_count,neurite_density
d1_t00_ph001,1,0,0.0,457.3333333333333,0.27338908453121774,450,16,0.16399416909620992
d1_t00_ph002,1,0,0.0,398.3333333333333,0.2961673893814096,331,5,0.1384937238493724
d1_t00_ph003,1,0,0.0,1938.0,0.31512917229421217,587,98,0.15144478844169246
d1_t00_ph004,1,0,0.0,3371.0,0.08856739498325586,378,24,0.11213289824977751
d1_t00_ph005,1,0,0.0,926.75,0.2647269407386085,412,45,0.11114108443485297
d1_t00_ph006,1,0,0.0,714.0,0.36884309671320625,472,36,0.13221288515406163
d1_t00_ph007,1,0,0.0,1297.6666666666667,0.2258740277063149,395,36,0.10146416645260724
d1_t00_ph008,1,0,0.0,2934.0,0.32164298367037514,181,10,0.06169052488070893
d1_t00_ph009,1,0,0.0,1566.0,0.185349787431275,312,26,0.09961685823754789
d1_t00_ph010,1,0,0.0,3392.0,0.06255666844838224,400,42,0.1179245283018868
d1_t00_ph011,1,0,0.0,610.6666666666666,0.31890294093117527,381,29,0.10398471615720524
d1_t00_ph012,1,0,0.0,1868.5,0.40780195162673194,351,36,0.09392560877709392
d1_t00_ph013,1,0,0.0,1643.5,0.39884891483960994,298,38,0.09066017645269242
d1_t00_ph014,1,0,0.0,3276.0,0.24801442698407702,212,16,0.06471306471306472
d1_t00_ph015,1,0,0.0,1207.6666666666667,0.27048166171992855,340,46,0.09384487993375655
d1_t00_ph016,1,0,0.0,1730.5,0.3214714481953389,233,30,0.06732158335741115
d1_t00_ph017,1,0,0.0,4506.0,0.0758909259882185,481,42,0.10674656014203285
d1_t00_ph018,1,0,0.0,2639.0,0.5405039676072818,119,20,0.04509283819628647
d1_t00_ph019,1,0,0.0,1284.6666666666667,0.17801509497284726,610,88,0.15827711468604047
d1_t00_ph020,1,0,0.0,3626.0,0.23794845794317018,227,25,0.0626034197462769
d1_t00_ph021,1,0,0.0,3578.0,0.17006304241999037,291,38,0.08133035215204025
d1_t00_ph022,1,0,0.0,2612.0,0.1704793550509249,265,28,0.10145482388973966
d1_t00_ph023,1,0,0.0,2267.0,0.1562344616009433,482,75,0.10630789589766211
d1_t00_ph024,1,0,0.0,1219.5,0.2549820647831111,288,39,0.11808118081180811
d1_t00_ph025,1,0,0.0,1990.5,0.24177887726852149,335,33,0.08414971112785732
d1_t00_ph026,1,0,0.0,1463.3333333333333,0.38425648258071826,328,56,0.07471526195899772
